,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
Love Aaj Kal Porshu,62776907,Q81378036,Love Aaj Kal Porshu,2020-02-14T00:00:00Z,,,Bangla,India,['romance'],[''],[''],[''],
Love Affair(s),66701605,Q98745126,Love Affair(s),2020-09-16T00:00:00Z,,122,French,France,"['drama', 'romance']",[''],[''],[''],
Love After Love (2020 film),68154919,Q97602927,Love After Love,2020-01-01T00:00:00Z,64000000,144,Cantonese,People's Republic of China,['romantic drama'],[''],[''],[''],
Love and Monsters (film),60404943,Q62761126,Love and Monsters,2020-10-16T00:00:00Z,1100000,109,English,United States of America,['post-apocalyptic'],"['7.3/10', '94%', '63/100']",[''],[''],30000000
Love & Stuff,67191464,Q106405810,Love & Stuff,2020-05-28T00:00:00Z,,,,United States of America,['documentary'],"['5.6/10', '80%']",[''],[''],
Love Is Love Is Love (film),63305583,Q96390944,Love Is Love Is Love (film),,,,,,,,,,
Love like the Falling Rain,65589569,Q97455380,Love Like the Falling Rain,2020-10-15T00:00:00Z,,86,Indonesian,Indonesia,['drama'],[''],[''],[''],
Love Likes Coincidences 2,62529443,Q77765845,Love Likes Coincidences 2,2020-01-31T00:00:00Z,,,Turkish,Turkey,['romance'],[''],[''],[''],
Love Mocktail,62986202,Q85782465,Love Mocktail,2020-01-01T00:00:00Z,,,Kannada,India,['nonlinear narrative'],[''],[''],[''],
Love Sarah,74194758,Q87457919,Love Sarah,2020-02-29T00:00:00Z,,97,English,"United Kingdom, Germany","['drama', 'comedy']",[''],[''],[''],
Love Song 1980,63633550,Q91878497,Love Song 1980,,,,,,,,,,
Love Stage!!,39507558,Q15131418,Love Stage!!,,,,,,,,,,
Love Story (2020 film),65552931,Q101208699,Love Story,2020-10-21T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Love the Way U Lie,65949463,Q104875936,Love the Way U Lie,,,,,,,,,,
Love Under the Olive Tree,64997752,Q99293339,Love Under the Olive Tree,,,,,,,,,,
Love Wedding Repeat,60527595,Q63565845,"Love, Wedding, Repeat",2020-01-01T00:00:00Z,,100,English,United Kingdom,"['comedy', 'romance', 'romantic comedy']","['5/10', '35%', '41/100']",[''],[''],
"Love, Guaranteed",63706703,Q98910124,"Love, Guaranteed",2020-01-01T00:00:00Z,,90,English,United States of America,['romantic comedy'],"['56%', '5/10']",[''],[''],
"Love, Weddings & Other Disasters",61818597,Q68211651,"Love, Weddings & Other Disasters",2020-01-01T00:00:00Z,,,,United States of America,[''],"['3%', '2.8/10']",[''],[''],
The Lovebirds (2020 film),59794053,Q61782227,The Lovebirds,2020-03-06T00:00:00Z,,86,English,United States of America,"['romantic comedy', 'comedy', 'romance']","['6/10', '66%']",[''],[''],
Lovers (2020 film),64049367,Q96387642,Lovers,2020-09-03T00:00:00Z,,103,French,France,"['melodrama', 'thriller']",[''],[''],[''],
Lovers Rock (2020 film),64179486,Q96100980,Lovers Rock,2020-11-22T00:00:00Z,,68,English,"United Kingdom, United States of America",['drama'],"['98%', '95/100']",[''],[''],
Lucky (2020 film),66799288,Q105752913,Lucky,2020-01-01T00:00:00Z,,,,United States of America,[''],"['7.1/10', '93%']",[''],[''],
Ludo (film),62674859,Q79947747,Ludo,2020-01-01T00:00:00Z,,,Hindi,India,[],[''],[''],[''],
Luv Ni Love Storys,62669126,Q85782712,Luv Ni Love Storys,2020-01-01T00:00:00Z,,,,India,['drama'],[''],[''],[''],
Luxor (film),66198983,Q95978865,Luxor,2020-11-06T00:00:00Z,,85,,,['drama'],"['6.8/10', '90%']",[''],[''],
Luz (2020 film),67723900,Q107104926,Luz (2020 film),,,,,,,,,,
Ma Rainey's Black Bottom (film),61084601,Q65049470,Ma Rainey's Black Bottom,2020-12-18T00:00:00Z,,93,English,United States of America,['drama'],"['8.2/10', '87/100', '97%']",['Dorian Award for LGBTQ Film of the Year'],[''],
Maa Vintha Gaadha Vinuma,65706052,Q102036261,Maa Vintha Gaadha Vinuma,,,,,,,,,,
Maayanadhi,61878486,Q85782926,Maayanadhi,,,,,,,,,,
The Macaluso Sisters,64815995,Q97828006,The Macaluso Sisters,2020-09-09T00:00:00Z,,94,Italian,Italy,['drama'],"['100%', '7.5/10']",[''],['David di Donatello for Best Director'],
Made in Abyss: Dawn of the Deep Soul,54170441,Q18335422,Made in Abyss: Dawn of the Deep Soul,,,,,,,,,,
Made in Italy (2020 film),60722362,Q65068785,Made in Italy,2020-07-23T00:00:00Z,2915266,94,English,United Kingdom,['comedy'],"['5.4/10', '44%']",[''],[''],
Made You Look: A True Story About Fake Art,71530240,Q105695139,Made You Look: A True Story About Fake Art,2020-01-01T00:00:00Z,,94,English,Canada,['documentary'],"['86%', '8/10']",[''],[''],
Madha (film),64240429,Q104844898,Madha (film),,,,,,,,,,
Madly in Life,69752614,Q110555335,Madly in Life,2020-01-01T00:00:00Z,,87,,Belgium,"['drama', 'comedy']",[''],[''],[''],
Mafia: Chapter 1,61680732,Q85846515,Mafia: Chapter 1,2020-01-01T00:00:00Z,,,Tamil,India,['action'],[''],[''],[''],
Magic Camp (film),52181056,Q27685110,Magic Camp,2020-08-14T00:00:00Z,,100,English,United States of America,"['family', 'comedy']","['5.1/10', '38%']",[''],[''],
The Magic Kids: Three Unlikely Heroes,78329714,Q78260411,The Magic Kids: Three Unlikely Heroes,2020-01-23T00:00:00Z,,95,German,Germany,['fantasy'],[''],[''],[''],
Magikland (film),65951161,Q104210042,Magikland,2020-01-01T00:00:00Z,,,,Philippines,[''],[''],[''],[''],
Magnesium (film),77633875,Q110447541,Magnesium,2020-10-02T00:00:00Z,,116,Polish,Poland,[''],[''],[''],[''],
The Magnificent Kotobuki Complete Edition,58474235,Q59124434,The Magnificent Kotobuki Complete Edition,,,,,,,,,,
The Magnitude of All Things,66692534,Q105657747,The Magnitude of All Things,,,,,,,,,,
The Maid (2020 film),64501960,Q97143781,The Maid,2022-01-27T00:00:00Z,,100,,Thailand,['ghost'],[''],[''],[''],
The Main Event (2020 film),63418011,Q89117854,The Main Event,2020-04-10T00:00:00Z,,,English,United States of America,['comedy'],"['30%', '4.9/10']",[''],[''],
Mainstream (film),60765858,Q65070116,Mainstream,2020-01-01T00:00:00Z,,94,English,United States of America,['drama'],"['4.9/10', '35%', '36/100']",[''],[''],
Maixabel,69233206,Q107174589,Maixabel,2021-09-24T00:00:00Z,,115,Spanish,Spain,['drama'],[''],['Premio Feroz for Best Drama'],['Goya Award for Best Film'],
Make Me Famous (2020 film),63621144,Q96391586,Make Me Famous,2020-01-01T00:00:00Z,,60,English,United Kingdom,[''],[''],[''],[''],
Malang (film),60035593,Q62020357,Malang,2020-01-01T00:00:00Z,,135,Hindi,India,['romantic thriller'],[''],[''],[''],
Malgudi Days (2020 film),63426595,Q96418869,Malgudi Days,2020-01-01T00:00:00Z,,,Kannada,India,['drama'],[''],[''],[''],
Malmkrog,65539453,Q85848507,Malmkrog,2020-01-01T00:00:00Z,,201,Romanian,Romania,['drama'],"['6.5/10', '59%']",[''],[''],
Mama Drama (film),68886912,Q108933791,Mama Drama,2020-10-01T00:00:00Z,,85,English,Nigeria,['drama'],[''],[''],[''],
Mama Gloria,69233594,Q109701623,Mama Gloria,2020-01-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Mama Weed,73322553,Q79246949,Mama Weed,2020-01-16T00:00:00Z,,104,French,France,"['comedy', 'crime', 'police']","['79%', '58/100']",[''],[''],
"Mamá, Mamá, Mamá",78250861,Q84763102,"Mamá, mamá, mamá",2021-01-01T00:00:00Z,,65,Spanish,Argentina,"['drama', ""children's""]",[''],[''],[''],
Mamakiki,64154667,Q101244974,Mamakiki,,,,,,,,,,
Man from Podolsk,65964457,Q102433455,Man from Podolsk,,,,,,,,,,
The Man in the Hat,64181637,Q101244975,The Man in the Hat,,,,,,,,,,
The Man Standing Next,62964581,Q78730189,The Man Standing Next,2020-01-22T00:00:00Z,,114,Korean,South Korea,"['drama', 'thriller', 'political']","['88%', '7.5/10', '7.8/100']",[''],['International Submission to the Academy Awards'],
The Man Who Sold His Skin,65897653,Q88465322,The Man Who Sold His Skin,2020-09-04T00:00:00Z,,104,"Arabic, English","Germany, France, Turkey, Sweden, Belgium, Tunisia, Cyprus",['drama'],"['88%', '64/100']",[''],['International Submission to the Academy Awards'],
Manasanamaha,66117175,Q104902482,Manasanamaha,,,,,,,,,,
Mandibles (film),64738625,Q97837011,Mandibles,2020-09-05T00:00:00Z,,77,French,France,['comedy'],"['7.4/10', '92%']",[''],[''],
Mane Number 13,65545410,Q101245272,Mane Number 13,2020-01-01T00:00:00Z,,,Kannada,India,[''],[''],[''],[''],
Mang Kepweng: Ang Lihim ng Bandanang Itim,66038023,Q104879212,Mang Kepweng: Ang Lihim ng Bandanang Itim,,,,,,,,,,
Mangrove (film),64179488,Q103404063,Mangrove,2020-11-15T00:00:00Z,,,,,[''],['90/100'],[''],[''],
Maniyarayile Ashokan,64674863,Q98447905,Maniyarayile Ashokan,2020-08-31T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
Mank,61261511,Q73093591,Mank,2020-11-13T00:00:00Z,,131,English,United States of America,['drama'],"['7.6/10', '83%', '79/100']",[''],['Academy Award for Best Picture'],
Marie (2020 film),65569795,Q104863233,Marie (2020 film),,,,,,,,,,
Marijuana (2020 film),75266169,Q123376951,Marijuana (2020 film),,,,,,,,,,
The Marina (film),66570393,Q105555999,The Marina (film),,,,,,,,,,
Mariposa (2020 film),69731287,Q97239884,Mariposa,2020-03-12T00:00:00Z,,118,Indonesian,Indonesia,['drama'],[''],[''],[''],
Mariyam Vannu Vilakkoothi,59129486,Q59725743,Mariyam Vannu Vilakkoothi,2020-01-01T00:00:00Z,,,Malayalam,India,['comedy'],[''],[''],[''],
Mark of the Devil (2020 film),62734341,Q81714303,Mark of the Devil,2020-01-01T00:00:00Z,,82,,Mexico,['horror'],[''],[''],[''],
Marlene (2020 film),67258655,Q106492979,Marlene,2020-01-01T00:00:00Z,,,,Canada,[''],[''],[''],[''],
The Marriage Escape,66434962,Q86352357,The Marriage Escape,2020-02-13T00:00:00Z,,103,Tweants,Netherlands,[''],[''],[''],[''],
Marry Me However,67394674,Q105527794,Marry Me However,2020-09-06T00:00:00Z,,63,Hebrew,Israel,['documentary'],[''],[''],[''],
The Marshes (2018 film),72528157,Q115978671,The Marshes (2018 film),,,,,,,,,,
Masameer: The Movie,74433403,Q85278574,Masameer: The Movie,2020-01-09T00:00:00Z,,,Arabic,Saudi Arabia,"['comedy', 'animated']",[''],[''],[''],
Masha (2020 film),67074667,Q105904256,Masha,2020-01-01T00:00:00Z,,85,,Russia,['drama'],[''],[''],[''],
Maska (2020 film),63407506,Q90346730,Maska,2020-01-01T00:00:00Z,,111,Hindi,India,[''],"['4/10', '17%']",[''],[''],
Materna (film),72575944,Q116158292,Materna (film),,,,,,,,,,
Max Reload and the Nether Blasters,74991115,Q98179835,Max Reload and the Nether Blasters,2020-08-07T00:00:00Z,,100,English,United States of America,"['comedy', 'adventure']","['6.9/10', '85%']",[''],[''],
May the Devil Take You Too,65812329,Q97236897,May the Devil Take You Too,2020-02-27T00:00:00Z,,108,Indonesian,Indonesia,"['thriller', 'horror']","['6.1/10', '73%']",[''],[''],
Maya Kannadi (2020 film),64520469,Q97657227,Maya Kannadi (2020 film),,,,,,,,,,
Mayabazar 2016,63144894,Q72658210,Mayabazar 2016,2020-01-01T00:00:00Z,,,Kannada,India,['romantic comedy'],[''],[''],[''],
Mayor (film),63738076,Q93478533,Mayor,2020-01-01T00:00:00Z,,,Arabic,United States of America,['documentary'],"['100%', '7.8/10']",[''],[''],
Me and Me,71086759,Q96460292,Me and Me,2020-06-18T00:00:00Z,,105,Korean,South Korea,['crime'],[''],[''],[''],
Me and the Cult Leader,64385669,Q101033424,Me and the Cult Leader,,,,,,,,,,
Meander (film),68171432,Q106651130,Meander,2020-01-01T00:00:00Z,698361,87,"French, English",France,"['horror', 'thriller']",[''],[''],[''],2600000
Measure for Measure (2020 film),72557349,Q116055825,Measure for Measure (2020 film),,,,,,,,,,
Meat the Future,67464962,Q106725911,Meat the Future,,,,,,,,,,
Mee Raqsam,65158159,Q101245087,Mee Raqsam,2020-08-21T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
Meel Patthar,65230722,Q104855155,Milestone,2020-01-01T00:00:00Z,,,"Hindi, Punjabi",India,['drama'],"['6.6/10', '82%']",[''],[''],
Meendum Oru Mariyathai,59526129,Q60738093,Meendum Oru Mariyathai,2018-01-01T00:00:00Z,,,Tamil,India,['drama'],[''],[''],[''],
Mehandi Laga Ke Rakhna 3,63195436,Q96392545,Mehandi Laga Ke Rakhna 3,,,,,,,,,,
Meka Suri,65008895,Q101245053,Meka Suri,,,,,,,,,,
Meka Suri 2,66611338,Q106610080,Meka Suri 2,,,,,,,,,,
Memories of a Teenager,70752097,Q102228542,Memories of a Teenager,2020-07-23T00:00:00Z,,97,Argentine Spanish,Argentina,['gay romance'],[''],[''],[''],
Memories of My Father,64191735,Q96378183,Forgotten We'll Be,2020-08-20T00:00:00Z,,136,Spanish,Colombia,"['historical', 'biographical']",[''],[''],['International Submission to the Academy Awards'],
Memory House,66412215,Q104868551,Memory House,2020-11-19T00:00:00Z,,94,Brazilian Portuguese,"Brazil, France",['drama'],[''],[''],[''],
Men at Work: Miami,66407733,Q98750346,Men at Work: Miami,2020-01-30T00:00:00Z,,115,Dutch,Netherlands,['romantic comedy'],[''],[''],[''],
A Mermaid in Paris,65833313,Q83000705,A Mermaid in Paris,2020-03-11T00:00:00Z,,,French,France,['fantasy'],"['100%', '7.9/10']",[''],[''],
El mesero,62249127,Q85758846,El mesero,2020-01-01T00:00:00Z,,,,Mexico,['comedy'],[''],[''],[''],
The Metamorphosis of Birds,63428833,Q84428750,The Metamorphosis of Birds,2020-02-28T00:00:00Z,,,Portuguese,Portugal,['documentary'],[''],[''],['International Submission to the Academy Awards'],
La mia banda suona il pop,64561614,Q83801259,La mia banda suona il pop,,,,,,,,,,
Miami Bici,63539980,Q87999926,Miami Bici,2020-02-21T00:00:00Z,,98,"Spanish, English, Romanian",Romania,['comedy'],[''],[''],[''],
Michhil,65897786,Q104872395,Michhil,2020-01-24T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Middle Class Melodies,65539514,Q101245268,Middle Class Melodies,,,,,,,,,,
The Midnight Sky,61128264,Q71767482,The Midnight Sky,2020-01-01T00:00:00Z,,118,English,United States of America,['post-apocalyptic'],"['49%', '5.7', '58/100']",[''],[''],100000000
Midnight Swan,67573871,Q105661959,Midnight Swan,,,,,,,,,,
Mighty Ira,73430282,Q117715745,Mighty Ira,,,,,,,,,,
Mighty Oak (film),70082210,Q98171625,Mighty Oak,2020-01-01T00:00:00Z,,102,English,United States of America,"['comedy', 'musical', 'drama', 'comedy drama']","['6/10', '58%']",[''],[''],
Milea (film),65070807,Q65205393,Milea: Suara dari Dilan,2020-02-13T00:00:00Z,,102,Indonesian,Indonesia,['drama'],[''],[''],[''],
The Milkmaid (film),65992816,Q104878035,The Milkmaid,2020-01-01T00:00:00Z,,136,"Arabic, Fula, Hausa",Nigeria,['drama'],[''],[''],"['16th African Movie Academy Awards', 'International Submission to the Academy Awards']",
Milkwater,67726225,Q96278616,Milkwater,2020-01-01T00:00:00Z,,,,United States of America,"['drama', 'comedy']",[''],[''],[''],
The Mimic (2020 film),66890049,Q105883280,The Mimic (2020 film),,,,,,,,,,
Minamata (film),59575241,Q60738297,Minamata,2020-01-01T00:00:00Z,,115,"Japanese, English","United Kingdom, United States of America",['drama'],"['6.2/10', '73%', '55/100']",[''],[''],
Minari (film),61276724,Q65679599,Minari,2020-01-26T00:00:00Z,15312445,115,"English, Korean",United States of America,['drama'],"['98%', '8.7/10', '89/100']","['Sundance Film Festival U.S. Dramatic Grand Jury Prize Award', 'Sundance Audience Award: U.S. Dramatic']",['Academy Award for Best Picture'],2000000
Mine de rien,70030565,Q86533878,Mine de rien,2020-02-26T00:00:00Z,,,French,France,['comedy'],[''],"[""Audience Award of the Alpe d'Huez International Comedy Film Festival""]",[''],
Minor Premise (film),65827011,Q103610094,Minor Premise (film),,,,,,,,,,
Minyan (film),67737878,Q84616735,Minyan,2020-01-01T00:00:00Z,,118,English,United States of America,['drama'],"['94%', '6.4/10', '68/100']",[''],[''],
Mio's Cookbook,74637697,Q121741526,Mio's Cookbook,,,,,,,,,,
The Miracle Centre,68886083,Q108839184,The Miracle Centre,2020-01-01T00:00:00Z,,95,English,Nigeria,['comedy'],[''],[''],[''],
Miracle in the Desert: The Rise and Fall of the Salton Sea,64258200,Q101244977,Miracle in the Desert: The Rise and Fall of the Salton Sea,,,,,,,,,,
Misbehaviour (film),58788163,Q59214101,Misbehaviour,2020-01-01T00:00:00Z,,106,English,"United Kingdom, France",['drama'],"['85%', '6.7/10', '62/100']",[''],[''],
Misfit 3: De Finale,68430765,Q108207987,Misfit 3: De Finale,,,,,,,,,,
Miss Americana,62503620,Q77833628,Miss Americana,2020-01-01T00:00:00Z,,85,English,United States of America,['documentary'],"['7.4/10', '91%']",[''],[''],
Miss Andy,63072533,Q85785849,Miss Andy,2020-01-01T00:00:00Z,,,"Malay, Standard Taiwanese Mandarin",Taiwan,['drama'],[''],[''],[''],
Miss Fisher and the Crypt of Tears,58844569,Q60737579,Miss Fisher and the Crypt of Tears,2020-01-01T00:00:00Z,,,,Australia,['mystery'],"['5.2/10', '67%']",[''],['AACTA Award for Best Production Design'],
Miss India (film),63332988,Q96393472,Miss India,2020-11-04T00:00:00Z,,,Telugu,India,['drama'],[''],[''],[''],
Miss Jenis,65408603,Q101245198,Miss Jenis,,,,,,,,,,
Miss Juneteenth,62934071,Q84011065,Miss Juneteenth,2020-01-01T00:00:00Z,,99,English,United States of America,['drama'],"['7.6/10', '99%', '73/100']",[''],[''],
Miss Marx,64678396,Q97787180,Miss Marx,2020-09-05T00:00:00Z,,107,English,"Italy, Belgium","['drama', 'biographical']","['46%', '5.5/10']",[''],['David di Donatello for Best Director'],
The Missing (2020 film),66081879,Q104880313,The Missing (2020 film),,,,,,,,,,
Missing in Brooks County,69408348,Q109975207,Missing in Brooks County,,,,,,,,,,
Mr. Zoo: The Missing VIP,64015880,Q65248979,Mr. Zoo: The Missing VIP,2020-01-22T00:00:00Z,,114,Korean,South Korea,"['drama', 'comedy']",[''],[''],[''],
Mite Mae Chit,65748012,Q101245445,Mite Mae Chit,,,,,,,,,,
Mithila Makhaan,50593567,Q24905609,Mithila Makhaan,,,,,,,,,,
MLK/FBI,65402429,Q101245195,MLK/FBI,2020-01-01T00:00:00Z,,104,English,United States of America,['documentary'],"['7.8/10', '99%']",[''],[''],
Mogul Mowgli,60352737,Q62595516,Mogul Mowgli,2020-02-21T00:00:00Z,,89,English,"United Kingdom, United States of America","['music-themed', 'drama']","['7.4/10', '71/100', '93%']",[''],[''],
The Mole Agent,65398119,Q101245192,The Mole Agent,2020-01-25T00:00:00Z,,90,Spanish,Chile,['documentary'],"['7.6/10', '94%']",[''],['International Submission to the Academy Awards'],
A Moment of Happiness,62907999,Q83493508,A Moment of Happiness,2020-01-01T00:00:00Z,,,Mandarin,Malaysia,['comedy'],[''],[''],[''],
Monday (2020 film),63632818,Q88982411,Monday,2020-01-01T00:00:00Z,,,,United States of America,['drama'],"['50%', '5.6/10', '58/100']",[''],[''],
Money Has Four Legs,73170350,Q117148530,Money Has Four Legs,,,,,,,,,,
Money Heist: The Phenomenon,64323472,Q90690028,Money Heist: The Phenomenon,2020-04-03T00:00:00Z,,,Spanish,Spain,"['behind-the-scenes', 'documentary']",[''],[''],[''],
Money Plane,13716919,Q98549048,Money Plane,2020-01-01T00:00:00Z,,,English,United States of America,['action'],"['3.6/10', '23%']",[''],[''],
Monkey Beach (film),65214450,Q104854896,Monkey Beach,2020-01-01T00:00:00Z,,,,Canada,['mystery'],[''],[''],[''],
The Monopoly of Violence,65548409,Q98501364,The Monopoly of Violence,2020-09-30T00:00:00Z,,86,French,France,['documentary'],[''],[''],[''],
Monster Hunter (film),52348920,Q56906869,Monster Hunter,2020-12-01T00:00:00Z,42145959,103,English,"South Africa, United States of America, Canada","['fantasy', 'action', 'adventure']","['4.9/10', '44%', '47/100']",[''],[''],60000000
Monster Seafood Wars,68030706,Q97164251,Monster Seafood Wars,2020-01-01T00:00:00Z,,,,Japan,[''],[''],[''],[''],
Monuments (film),67524476,Q106817100,Monuments (film),,,,,,,,,,
Mookuthi Amman,63423336,Q96393849,Mookuthi Amman,,,,,,,,,,
Moon (2020 film),67540542,Q96404039,Moon (2020 film),,,,,,,,,,
Moon Rock for Monday,71913707,Q115516441,Moon Rock For Monday,2021-09-08T00:00:00Z,,96,,Australia,[''],[''],[''],[''],
More Than Family,65709464,Q100989574,More Than Family,2020-11-12T00:00:00Z,,,Korean,South Korea,[''],[''],[''],[''],
Mortal (film),61363596,Q65940913,Mortal,2020-01-01T00:00:00Z,,104,"English, Norwegian",Norway,"['fantasy', 'adventure']","['5.7/10', '56%', '20/100']",[''],[''],6100000
Mortal Kombat Legends: Scorpion's Revenge,63010121,Q84366495,Mortal Kombat Legends: Scorpion's Revenge,2020-01-01T00:00:00Z,,80,English,United States of America,"['action', 'ninja', 'technofantasy']","['90%', '7.3/10']",[''],[''],
Mosquito State,68674627,Q98689163,Mosquito State,2020-01-01T00:00:00Z,,100,English,"Poland, United States of America",['drama'],"['62%', '6.4/10']",[''],[''],
A Most Beautiful Thing,63961214,Q96371306,A Most Beautiful Thing,2020-01-01T00:00:00Z,,95,English,United States of America,['documentary'],"['100%', '8.2/10']",[''],[''],
Most Guys Are Losers,68375581,Q108112985,Most Guys Are Losers,2020-10-22T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
